# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
923.6000 M17 848700 1 434.6000 S29 P7 292 N S29->P7
932.4000 M4 523257 3 820.4000 B21 B17 286 N B21->P12->B15->B17
1624.9000 M11 562047 3 1304.9000 B24 P13 278 N B24->P4->P0->P13
1863.8000 M1 618834 2 1831.8000 S28 S30 269 N S28->S26->S30
1894.7000 M53 845229 1 374.7000 P8 S27 293 N P8->S27
1934.4000 M2 977273 1 1876.4000 B17 S32 268 N B17->S32
2143.8000 M8 913877 1 1910.8000 P1 B15 268 N P1->B15
2164.9000 M51 532856 1 708.9000 S25 S28 288 N S25->S28
2251.9000 M15 754268 3 1819.9000 P9 S27 269 N P9->P3->B24->S27
2361.0000 M9 587686 1 2096.0000 S33 P13 265 N S33->P13
2420.7000 M46 779422 1 1113.7000 B24 B20 281 N B24->B20
2859.3000 M95 866374 1 108.3000 S30 P1 298 N S30->P1
3091.0000 M41 944036 1 1921.0000 P12 P8 267 N P12->P8
3100.7000 M82 623765 1 732.7000 P2 P12 287 N P2->P12
3104.7000 M28 975325 3 2301.7000 B23 P8 261 N B23->S39->P2->P8
3265.7000 M34 548331 3 2300.7000 P9 P13 261 N P9->P3->B24->P13
3343.1000 M92 719389 1 677.1000 B16 B23 288 N B16->B23
3346.2000 M49 754826 2 1948.2000 B24 B23 267 N B24->B16->B23
3556.7000 M5 874671 2 3412.7000 P12 S29 243 N P12->B23->S29
3795.4000 M13 693107 2 3416.4000 B15 P14 243 N B15->B17->P14
3937.6000 M48 537079 2 2571.6000 B21 S28 257 N B21->B24->S28
3939.9000 M116 553518 1 580.9000 B24 S28 290 N B24->S28
3980.3000 M10 863541 2 3689.3000 P12 P7 238 N P12->B21->P7
4042.1000 M59 999278 2 2343.1000 P11 S29 260 N P11->P7->S29
4169.8000 M141 725726 1 66.8000 B18 B16 298 N B18->B16
4297.5000 M67 860233 1 2377.5000 P14 B16 260 N P14->B16
4300.0000 M56 601479 1 2695.0000 B16 P14 255 N B16->P14
4392.6000 M99 746890 2 1520.6000 B18 P3 274 N B18->B16->P3
4623.3000 M61 964734 3 2873.3000 P14 S28 252 N P14->S27->P13->S28
4633.7000 M90 623996 2 2031.7000 B20 P10 266 N B20->P14->P10
4665.4000 M71 566893 3 2625.4000 B17 B23 256 N B17->S30->P13->B23
4687.1000 M7 612010 3 4484.1000 B15 P9 225 N B15->S37->B19->P9
4704.9000 M14 530271 2 4299.9000 P11 P0 228 N P11->P4->P0
4992.8000 M98 899694 2 2153.8000 B18 P6 264 N B18->B16->P6
5111.3000 M22 733640 3 4486.3000 P8 B18 225 N P8->P4->P11->B18
5114.9000 M19 884570 3 4572.9000 P0 B18 223 N P0->P4->P11->B18
5300.8000 M157 657732 1 730.8000 S31 S30 287 N S31->S30
5714.1000 M12 545086 3 5369.1000 P11 P3 210 N P11->P4->P0->P3
5786.7000 M43 623927 2 4560.7000 B21 P6 223 N B21->P7->P6
5820.9000 M44 528150 6 4565.9000 B15 B21 223 N B15->S39->P10->S35->P7->S35->B21
5860.4000 M87 507417 1 3343.4000 S31 P10 244 N S31->P10
5882.1000 M119 524342 3 2441.1000 B18 P11 259 N B18->B16->S27->P11
5916.2000 M194 904569 1 247.2000 S29 P13 295 N S29->P13
6020.0000 M151 938468 1 1634.0000 S28 P8 272 N S28->P8
6161.1000 M177 898394 1 1002.1000 B18 B21 283 N B18->B21
6211.9000 M154 551649 1 1741.9000 P2 S27 270 N P2->S27
6294.0000 M146 807429 2 2054.0000 S26 P13 265 N S26->P8->P13
6399.3000 M27 777199 2 5621.3000 B18 P1 206 N B18->B21->P1
6489.2000 M30 770945 1 5628.2000 B23 S33 206 N B23->S33
6502.2000 M115 868464 1 3169.2000 P1 B18 247 N P1->B18
7133.4000 M152 564908 1 2720.4000 B21 P8 254 N B21->P8
7135.9000 M120 601626 3 3667.9000 B22 B21 238 N B22->S26->P8->B21
7143.8000 M121 975987 5 3644.8000 B24 S26 239 N B24->B21->P1->P6->P7->S26
7168.7000 M203 807332 3 1228.7000 S30 B24 279 N S30->P7->S26->B24
7214.3000 M162 755220 1 2496.3000 B24 P2 258 N B24->P2
7215.0000 M40 618421 1 6078.0000 B17 P6 198 N B17->P6
7217.3000 M212 555418 2 1023.3000 P1 B17 282 N P1->P6->B17
7249.5000 M247 976525 1 8.5000 S25 P3 299 N S25->P3
7289.3000 M38 724948 3 6208.3000 S28 P4 196 N S28->S25->B18->P4
7553.1000 M131 765115 2 3751.1000 B16 P5 237 N B16->B18->P5
7555.3000 M68 549614 2 5603.3000 S25 P5 206 N S25->B18->P5
7796.6000 M6 661032 2 7626.6000 B17 S31 172 N B17->B19->S31
7800.2000 M23 630182 3 7146.2000 S32 P12 180 N S32->B16->P1->P12
7889.4000 M32 892375 4 6977.4000 P10 B18 183 N P10->P4->P0->P3->B18
7932.7000 M173 976918 1 2890.7000 P14 P12 251 N P14->P12
8095.6000 M197 713147 2 2336.6000 B18 S33 261 N B18->B21->S33
8227.2000 M110 887512 1 5034.2000 P2 S33 216 N P2->S33
8257.6000 M114 804649 2 4951.6000 P3 B20 217 N P3->P12->B20
8298.8000 M88 502436 4 5751.8000 B24 B17 204 N B24->S28->P8->P13->B17
8301.2000 M148 586647 3 4001.2000 S30 P13 233 N S30->B22->B17->P13
8386.0000 M165 766358 2 3580.0000 S31 P13 240 N S31->S34->P13
8695.3000 M36 656756 1 7677.3000 B21 P0 172 N B21->P0
8799.4000 M298 609765 1 60.4000 S32 B21 298 N S32->B21
8802.8000 M282 835433 1 532.8000 B21 S32 291 N B21->S32
8822.8000 M223 529412 2 2303.8000 P6 B21 261 N P6->P7->B21
8888.0000 M199 534562 1 3063.0000 B22 B24 248 N B22->B24
9172.1000 M132 591759 4 5340.1000 S31 P11 210 N S31->S34->P12->P10->P11
9382.3000 M33 888356 5 8444.3000 S32 P10 159 N S32->B16->P1->B21->S36->P10
9620.0000 M288 976507 1 1170.0000 B24 P11 280 N B24->P11
9729.8000 M129 536904 5 5989.8000 B18 P9 200 N B18->B16->P3->B15->P1->P9
9775.8000 M20 885202 5 9208.8000 S31 P9 146 N S31->S29->P7->S26->P8->P9
9778.8000 M302 726362 1 921.8000 P8 P9 284 N P8->P9
9781.9000 M289 762068 2 1300.9000 S31 P8 278 N S31->P9->P8
9787.3000 M237 695679 1 2851.3000 P4 S27 252 N P4->S27
9812.7000 M123 729639 2 6253.7000 P2 B18 195 N P2->S30->B18
9854.4000 M285 701063 2 1492.4000 B21 B24 275 N B21->B19->B24
9906.5000 M37 990930 4 8855.5000 P2 S32 152 N P2->P14->B24->B20->S32
9946.7000 M320 771889 1 550.7000 S25 B15 290 N S25->B15
9999.0000 M278 711539 2 1850.0000 S30 S29 269 N S30->B18->S29
10116.1000 M187 821825 3 4657.1000 S32 B20 222 N S32->P3->B18->B20
10118.6000 M283 616370 2 1820.6000 P14 B20 269 N P14->B18->B20
10238.1000 M281 709005 3 1998.1000 P1 P11 266 N P1->S28->B15->P11
10277.8000 M335 907849 1 418.8000 P8 S32 293 N P8->S32
10308.2000 M252 555781 1 2916.2000 B24 P12 251 N B24->P12
10311.2000 M291 731919 1 1775.2000 P12 B24 270 N P12->B24
10325.2000 M265 561949 1 2544.2000 S30 P2 257 N S30->P2
10327.8000 M248 649613 2 3057.8000 B21 S30 249 N B21->P2->S30
10535.2000 M205 976697 3 4539.2000 P3 S26 224 N P3->B22->B24->S26
10537.3000 M111 517153 4 7317.3000 B16 S26 178 N B16->S34->P12->B24->S26
10577.1000 M228 749534 1 3911.1000 P13 S30 234 N P13->S30
10704.5000 M349 526550 1 423.5000 P11 S28 292 N P11->S28
