# messageDelay  cumulativeProbability
6.0000 0.0007
8.5000 0.0014
18.2000 0.0020
23.8000 0.0027
43.6000 0.0034
55.0000 0.0041
60.4000 0.0048
66.8000 0.0054
73.4000 0.0061
77.5000 0.0068
94.7000 0.0075
103.3000 0.0082
108.3000 0.0088
113.8000 0.0095
141.3000 0.0102
151.3000 0.0109
179.0000 0.0116
243.4000 0.0123
245.2000 0.0129
247.2000 0.0136
272.1000 0.0143
327.0000 0.0150
329.9000 0.0157
342.2000 0.0163
367.2000 0.0170
372.7000 0.0177
374.7000 0.0184
378.1000 0.0191
378.2000 0.0197
384.2000 0.0204
385.2000 0.0211
388.7000 0.0218
418.8000 0.0225
423.5000 0.0231
427.3000 0.0238
427.5000 0.0245
434.2000 0.0252
434.6000 0.0259
450.6000 0.0265
509.1000 0.0272
532.6000 0.0279
532.8000 0.0286
550.7000 0.0293
572.0000 0.0300
580.9000 0.0306
657.3000 0.0313
677.1000 0.0320
708.9000 0.0327
709.7000 0.0334
730.8000 0.0340
732.7000 0.0347
740.9000 0.0354
742.0000 0.0361
752.7000 0.0368
760.1000 0.0374
785.7000 0.0381
807.4000 0.0388
820.4000 0.0395
853.3000 0.0402
857.6000 0.0408
869.1000 0.0415
882.4000 0.0422
907.8000 0.0429
921.8000 0.0436
926.7000 0.0442
926.7000 0.0449
955.1000 0.0456
961.7000 0.0463
961.9000 0.0470
969.2000 0.0477
986.1000 0.0483
1002.1000 0.0490
1007.2000 0.0497
1016.3000 0.0504
1023.3000 0.0511
1025.9000 0.0517
1095.3000 0.0524
1113.3000 0.0531
1113.7000 0.0538
1125.6000 0.0545
1127.0000 0.0551
1144.0000 0.0558
1170.0000 0.0565
1178.8000 0.0572
1213.2000 0.0579
1222.8000 0.0585
1227.0000 0.0592
1228.0000 0.0599
1228.7000 0.0606
1250.6000 0.0613
1264.0000 0.0619
1276.2000 0.0626
1300.9000 0.0633
1304.9000 0.0640
1323.8000 0.0647
1341.3000 0.0654
1354.4000 0.0660
1360.5000 0.0667
1366.3000 0.0674
1383.8000 0.0681
1475.0000 0.0688
1492.4000 0.0694
1496.3000 0.0701
1505.4000 0.0708
1513.5000 0.0715
1520.6000 0.0722
1552.9000 0.0728
1579.6000 0.0735
1628.1000 0.0742
1634.0000 0.0749
1646.5000 0.0756
1685.6000 0.0762
1695.9000 0.0769
1711.8000 0.0776
1715.1000 0.0783
1739.6000 0.0790
1741.9000 0.0796
1755.3000 0.0803
1775.2000 0.0810
1778.8000 0.0817
1781.0000 0.0824
1819.9000 0.0830
1820.6000 0.0837
1824.6000 0.0844
1831.8000 0.0851
1846.9000 0.0858
1850.0000 0.0865
1855.9000 0.0871
1876.4000 0.0878
1876.9000 0.0885
1896.4000 0.0892
1910.8000 0.0899
1912.4000 0.0905
1915.3000 0.0912
1921.0000 0.0919
1921.4000 0.0926
1931.1000 0.0933
1948.2000 0.0939
1961.5000 0.0946
1994.3000 0.0953
1998.1000 0.0960
2031.7000 0.0967
2054.0000 0.0973
2089.1000 0.0980
2096.0000 0.0987
2101.3000 0.0994
2148.6000 0.1001
2153.8000 0.1007
2163.9000 0.1014
2170.3000 0.1021
2176.5000 0.1028
2186.4000 0.1035
2195.2000 0.1042
2248.6000 0.1048
2264.3000 0.1055
2288.7000 0.1062
2300.7000 0.1069
2301.7000 0.1076
2303.8000 0.1082
2315.7000 0.1089
2322.6000 0.1096
2327.0000 0.1103
2336.6000 0.1110
2343.1000 0.1116
2369.2000 0.1123
2375.4000 0.1130
2377.5000 0.1137
2392.0000 0.1144
2423.1000 0.1150
2434.3000 0.1157
2440.6000 0.1164
2441.1000 0.1171
2445.2000 0.1178
2467.3000 0.1184
2496.3000 0.1191
2520.4000 0.1198
2532.8000 0.1205
2544.2000 0.1212
2550.1000 0.1219
2571.6000 0.1225
2587.5000 0.1232
2608.8000 0.1239
2616.8000 0.1246
2625.4000 0.1253
2630.4000 0.1259
2673.0000 0.1266
2678.4000 0.1273
2695.0000 0.1280
2697.5000 0.1287
2717.1000 0.1293
2720.4000 0.1300
2742.0000 0.1307
2749.5000 0.1314
2837.7000 0.1321
2847.6000 0.1327
2851.3000 0.1334
2851.3000 0.1341
2873.3000 0.1348
2890.7000 0.1355
2908.1000 0.1361
2916.2000 0.1368
2934.2000 0.1375
2949.6000 0.1382
2958.6000 0.1389
2982.8000 0.1396
3057.8000 0.1402
3063.0000 0.1409
3081.0000 0.1416
3101.5000 0.1423
3103.3000 0.1430
3129.2000 0.1436
3132.7000 0.1443
3169.2000 0.1450
3187.9000 0.1457
3197.0000 0.1464
3219.8000 0.1470
3241.8000 0.1477
3245.5000 0.1484
3255.1000 0.1491
3272.0000 0.1498
3333.3000 0.1504
3343.4000 0.1511
3350.2000 0.1518
3355.8000 0.1525
3356.6000 0.1532
3367.3000 0.1538
3387.6000 0.1545
3393.9000 0.1552
3412.7000 0.1559
3415.2000 0.1566
3416.4000 0.1572
3450.6000 0.1579
3477.1000 0.1586
3481.2000 0.1593
3489.6000 0.1600
3492.2000 0.1607
3505.0000 0.1613
3524.8000 0.1620
3525.2000 0.1627
3549.2000 0.1634
3580.0000 0.1641
3581.2000 0.1647
3629.2000 0.1654
3643.1000 0.1661
3644.8000 0.1668
3651.5000 0.1675
3659.6000 0.1681
3667.9000 0.1688
3689.3000 0.1695
3705.7000 0.1702
3727.9000 0.1709
3751.1000 0.1715
3751.6000 0.1722
3770.5000 0.1729
3795.1000 0.1736
3838.0000 0.1743
3845.3000 0.1749
3855.8000 0.1756
3862.1000 0.1763
3873.9000 0.1770
3906.9000 0.1777
3911.1000 0.1784
3994.5000 0.1790
4001.2000 0.1797
4024.5000 0.1804
4034.2000 0.1811
4062.6000 0.1818
4065.6000 0.1824
4086.4000 0.1831
4139.5000 0.1838
4146.1000 0.1845
4169.9000 0.1852
4189.8000 0.1858
4223.1000 0.1865
4276.2000 0.1872
4288.6000 0.1879
4294.1000 0.1886
4297.8000 0.1892
4299.9000 0.1899
4311.5000 0.1906
4356.4000 0.1913
4367.0000 0.1920
4463.9000 0.1926
4484.1000 0.1933
4486.3000 0.1940
4489.5000 0.1947
4505.9000 0.1954
4525.1000 0.1961
4526.6000 0.1967
4539.2000 0.1974
4557.1000 0.1981
4560.2000 0.1988
4560.7000 0.1995
4565.9000 0.2001
4572.9000 0.2008
4576.0000 0.2015
4589.7000 0.2022
4605.4000 0.2029
4657.1000 0.2035
4686.3000 0.2042
4711.2000 0.2049
4752.6000 0.2056
4796.7000 0.2063
4796.7000 0.2069
4799.0000 0.2076
4807.7000 0.2083
4811.6000 0.2090
4880.4000 0.2097
4884.0000 0.2103
4897.4000 0.2110
4899.5000 0.2117
4942.3000 0.2124
4951.6000 0.2131
5009.9000 0.2138
5019.6000 0.2144
5034.2000 0.2151
5079.3000 0.2158
5105.0000 0.2165
5185.2000 0.2172
5185.6000 0.2178
5212.9000 0.2185
5236.0000 0.2192
5254.1000 0.2199
5283.8000 0.2206
5340.1000 0.2212
5349.5000 0.2219
5350.5000 0.2226
5363.5000 0.2233
5369.1000 0.2240
5373.0000 0.2246
5400.6000 0.2253
5549.6000 0.2260
5556.1000 0.2267
5562.6000 0.2274
5603.3000 0.2280
5621.3000 0.2287
5628.2000 0.2294
5635.3000 0.2301
5643.6000 0.2308
5656.1000 0.2314
5661.2000 0.2321
5695.3000 0.2328
5751.8000 0.2335
5821.5000 0.2342
5868.0000 0.2349
5868.2000 0.2355
5884.8000 0.2362
5887.0000 0.2369
5922.7000 0.2376
5939.3000 0.2383
5958.4000 0.2389
5989.8000 0.2396
6009.2000 0.2403
6010.7000 0.2410
6027.7000 0.2417
6078.0000 0.2423
6107.8000 0.2430
6208.3000 0.2437
6212.7000 0.2444
6222.6000 0.2451
6239.8000 0.2457
6253.7000 0.2464
6255.4000 0.2471
6319.8000 0.2478
6365.0000 0.2485
6378.4000 0.2491
6406.0000 0.2498
6432.0000 0.2505
6482.5000 0.2512
6516.7000 0.2519
6520.8000 0.2526
6521.5000 0.2532
6527.6000 0.2539
6537.1000 0.2546
6592.2000 0.2553
6642.1000 0.2560
6688.1000 0.2566
6737.3000 0.2573
6808.9000 0.2580
6938.9000 0.2587
6958.1000 0.2594
6977.4000 0.2600
7077.3000 0.2607
7089.0000 0.2614
7090.8000 0.2621
7110.3000 0.2628
7113.2000 0.2634
7140.2000 0.2641
7146.2000 0.2648
7234.0000 0.2655
7268.4000 0.2662
7317.3000 0.2668
7320.4000 0.2675
7332.0000 0.2682
7400.7000 0.2689
7410.5000 0.2696
7512.5000 0.2703
7546.6000 0.2709
7592.7000 0.2716
7626.6000 0.2723
7666.6000 0.2730
7677.3000 0.2737
7699.9000 0.2743
7714.6000 0.2750
7716.0000 0.2757
7761.9000 0.2764
7829.6000 0.2771
7922.4000 0.2777
7951.1000 0.2784
7963.6000 0.2791
7990.4000 0.2798
8035.3000 0.2805
8164.7000 0.2811
8195.6000 0.2818
8241.0000 0.2825
8444.3000 0.2832
8521.5000 0.2839
8599.7000 0.2845
8602.8000 0.2852
8637.0000 0.2859
8692.7000 0.2866
8706.5000 0.2873
8708.0000 0.2880
8714.9000 0.2886
8732.8000 0.2893
8733.4000 0.2900
8767.2000 0.2907
8855.5000 0.2914
8891.3000 0.2920
8931.9000 0.2927
8939.2000 0.2934
9071.9000 0.2941
9104.4000 0.2948
9149.2000 0.2954
9191.7000 0.2961
9205.1000 0.2968
9208.8000 0.2975
9432.2000 0.2982
9435.4000 0.2988
9460.6000 0.2995
9650.8000 0.3002
9889.6000 0.3009
9905.1000 0.3016
10064.1000 0.3022
10067.9000 0.3029
10098.1000 0.3036
10112.4000 0.3043
10129.8000 0.3050
10175.2000 0.3057
10192.5000 0.3063
10260.7000 0.3070
10336.0000 0.3077
10393.1000 0.3084
10509.0000 0.3091
10520.8000 0.3097
10667.7000 0.3104
10836.7000 0.3111
10859.9000 0.3118
10869.0000 0.3125
10913.0000 0.3131
10929.4000 0.3138
11004.4000 0.3145
11219.9000 0.3152
11243.7000 0.3159
11441.7000 0.3165
11459.4000 0.3172
11544.5000 0.3179
11591.8000 0.3186
11672.7000 0.3193
11783.9000 0.3199
11886.8000 0.3206
11905.0000 0.3213
12065.2000 0.3220
12108.0000 0.3227
12171.5000 0.3233
12192.5000 0.3240
12420.9000 0.3247
12554.0000 0.3254
12849.8000 0.3261
12924.7000 0.3268
13051.0000 0.3274
13433.2000 0.3281
13519.9000 0.3288
14145.4000 0.3295
14820.8000 0.3302
15011.1000 0.3308
15259.2000 0.3315
15781.9000 0.3322
15790.3000 0.3329
16592.1000 0.3336
17083.3000 0.3342
